A1;;;
A2;;;
A4;;;
A5;;;
A6;;;
A7;;;
A8;;;
A9;;;
A10;;;
CA1 alveus;CA1alv;alveus of the CA1 field;
CA1 stratum lacunosum moleculare;CA1lm;stratum lacunosum moleculare of the CA1 field;
CA1 stratum oriens; CA1or;stratum oriens of the CA1 field;
CA1 stratum pyramidale;CA1py;stratum pyramidale of the CA1 field;
CA1 stratum radiatum;CA1ra;stratum radiatum of the CA1 field;
CA1;CA1;field CA1, regio superior of the hippocampus, Region CA1, Cornu Ammonis 1,CA1 area;
CA2 alveus;CA2alv;alveus of the CA2 field;
CA2 stratum lacunosum moleculare;CA2lm;stratum lacunosum moleculare of the CA2 field;
CA2 stratum oriens;CA2or;stratum oriens of the CA2 field;
CA2 stratum pyramidale;CA2py;stratum pyramidale of the CA2 field;
CA2 stratum radiatum;CA2ra;stratum radiatum of the CA2 field;
CA2;CA2;CA2 field, field CA2, Region CA2, Cornu Ammonis 2;
CA3 alveus;CA3alv;alveus of the CA3 field;
CA3 commissural;;;
CA3 stratum lacunosum moleculare;CA3lm;stratum lacunosum moleculare of the CA3 field;
CA3 stratum lucidum;CA3lu;stratum lucidum of the CA3 field;
CA3 stratum oriens;CA3or;stratum oriens of the CA3 field;
CA3 stratum pyramidale;CA3py;stratum pyramidale of the CA3 field;
CA3 stratum radiatum;CA3ra;stratum radiatum of the CA3 field;
CA3;CA3;CA3 field, field CA3, Region CA3, Cornu Ammonis 3;
Calamus scriptorius;;;
Callejal complex;;;
Callejal islands;;;
Callosal pathway;;;
Callosal sulcus;;;
Callosal;;;
Canal organs;;;
Candidate vocal nuclei;;;
Capsula interna;;;
Capsule of medial geniculate body;cmg;;
Capsule of red nucleus;cr;;
Cardiovascular nucleus tractus solitarii;;;
Caudal anterior cingulate cortex;;;
Caudal auditory areas;;;
Caudal central oculomotor nucleus;CC3;caudal central nucleus;
Caudal continuum;;;
Caudal cortex;;;
Caudal cuneate nucleus;;;
Caudal dorsal raphe;;caudal DR;
Caudal dorsomedial nucleus;;;
Caudal globus pallidus;;;
Caudal hypothalamus;;;
Caudal intergeniculate leaflet;;;
Caudal lobe;;;
Caudal medial cerebellar nucleus;;;
Caudal medial dorsal nucleus pars densocellularis;;;
Caudal medulla oblongata;;;
Caudal medullary velum;;;
Caudal midbrain;;;
Caudal middle frontal gyrus;;;
Caudal myelencephalon;;;
Caudal neostriatum;;;
Caudal nucleus tractus solitarius;;;
Caudal part of spinal trigeminal nucleus;CSp5;caudal part of the spinal trigeminal nucleus;
Caudal part of ventral lateral nucleus;VLC;;
Caudal part of ventral posterolateral nucleus;VPLC;;
Caudal pole of the superior colliculus;;;
Caudal pons;;;
Caudal pontine nuclei;;;
Caudal pontine regions;;;
Caudal pontine reticular nucleus;PnC;Nucleus reticularis pontis caudalis;
Caudal raphe;;;
Caudal rhombencephalon;;;
Caudal spinal cord;;;
Caudal subnuclei;;;
Caudal substantia nigra;;;
Caudal thalamus;;;
Caudal thoracolumbar;CT;;
Caudal trigeminal nucleus;;;
Caudal ventral medial nuclei;;;
Caudal ventromedial thalamic nuclei;;;
Caudal vermis;;;
Caudate nucleus;Cd;Caudatus, Nucleus caudatus,caudate;
Caudodorsal medial prefrontal cortical;;;
Caudolateral area;;;
Caudolateral Hv;;;
Caudolateral neostriatum;;;
Caudomedial globus pallidus;;;
Caudomedial hyperstriatum ventrale;;;
Caudomedial lobule;;;
Caudomedial Mesopallium;;;
Caudomedial Nidopallium;;;
Caudorostral plane;;;
Caudoventral putamen;;;
Cavernous sinus;;;
Ce;;;
Central amygdaloid nucleus;CeA;central amygdalar nucleus, central amygdala, central nucleus of amygdala, central nuclei of the amygdala, central nuclei;
Central canal of the spinal cord;;Central canal;
Central cervical nucleus;;;
Central cervical spinocerebellar tract;;;
Central complex;;;
Central dorsal nucleus;CD;Nucleus circularis;
Central gray matter;;;
Central gray of the brain;;;
Central gray of the spinal cord;;;
Central gray substance of medulla;CGM;central gray of the medulla, central gray matter, Griseum periventriculare, Substantia grisea centralis;
Central gray substance of pons;CGPn;pontine central gray, Griseum periventriculare, Substantia grisea centralis;
Central gray;;;
Central lateral nucleus;CL;central lateral thalamic nucleus, centrolateral thalamic nucleus, Nucleus centralis lateralis of thalamus,central lateral nucleus, Central lateral nucleus of the thalamus,central lateral;
central lateral subnucleus;;;
Central linear nucleus raphe;;;
Central lobule lobule II sublobule a;;;
Central lobule lobule II sublobule b;;;
Central lobule lobule II;;;
Central lobule lobule III sublobule a;;;
Central lobule lobule III sublobule b;;;
Central lobule lobule III;;;
Central lobule;II-III;Lobulus centralis;
Central medial nucleus;CM;central medial thalamic nucleus, Nucleus centralis medialis,centralis medialis,Central medial nucleus of the thalamus,central medial;
Central nucleus of amygdala capsular part;;Capsular Central nucleus of amygdala;
Central nucleus of amygdala lateral part;;Lateral Central nucleus of amygdala;
Central nucleus of amygdala medial part;;Medial Central nucleus of amygdala;
Central nucleus of amygdala;CeA;central amygdala,central nucleus of the amygdala,central nucleus;
Central nucleus of inferior colliculus;CIC;central nucleus of the inferior colliculus;
Central oculomotor nucleus;C3;nucleus of Perlia;
Central sagulum;;;
Central segment;;;
Central septal division;;;
Central tectum;;;
Central tegmental bundle;;;
Central tegmental tract of midbrain;ctgmb;;
Central tegmental tract of pons;ctgp;;
Centrolateral;;Centrolateral nuclei, Centrolateral nucleus,Centrolateral amygdala;
centromedial amygdala;;centromedial;
centromedian complex;CM;;
centromedian nucleus of the thalamus;;centromedian nucleus;
